96616,810,75978
47,21512,72240
37204,32405,96978
29869,39703,17245
85469,86947,73441
30718,17071,51096
41362,30138,67009
598,13948,14379
76389,15190,48555
49893,73440,15307
29849,31150,65844
43789,38501,72225
1289,51970,81957
94777,88446,92003
67115,73782,47139
34918,73782,76791
10226,21601,9106
25255,34515,55484
15907,71527,29965
81513,47000,15653
80059,88130,47907
38982,78390,65861
52404,53380,32169
57890,49601,15440
124,21347,33712
34031,15726,61115
74713,70099,55008
5651,21087,42325
7646,22850,56910
77521,99356,56389
21748,86110,49763
33638,70698,70272
72192,16208,6392
44081,77872,46151
77812,33943,16761
73761,81089,45679
8774,27775,53496
7575,13375,22609
58036,91575,80779
59110,66473,56545
86077,10459,63254
66197,87350,40327
81411,92072,72676
49748,9698,89965
78439,17433,63349
21784,15350,87174
20127,8208,29553
68687,89811,29134
37359,84624,5746
16185,94710,97793
18231,95999,20306
46807,93766,75186
66175,64946,13827
2379,85923,41962
49923,83393,61215
49402,16213,59895
16578,1185,60394
26992,44142,77991
11815,61668,19454
49157,21692,51961
70475,72818,83517
60133,50809,14515
36769,65052,9338
68358,29041,16515
68765,91605,30936
93634,60030,23295
75141,909,75737
77063,82141,8421
29230,5618,66027
60311,44944,84379
6727,40525,76384
60892,71273,13434
99336,47605,54010
4854,66583,83047
41024,75773,25856
61313,40857,75555
92580,94652,34432
66175,63087,68137
862,46037,40611
9364,61053,96965
96197,97478,31849
46012,78260,93076
4284,3783,29454
79377,111,81121
36895,62273,40991
28332,83678,6091
124,6836,46015
58191,32091,27558
83664,90573,74440
47684,52380,13614
35120,46095,58900
75844,70060,25294
22872,85463,81740
55383,79835,82127
44744,64274,86800
60852,70621,32428
91516,39702,39626
3688,20727,56814
49311,23987,86560
44548,2875,53676
16841,24697,97455
17788,80255,91151
83290,1708,4577
39021,78132,21442
12009,82267,12399
91035,14375,97595
94085,31799,99374
88944,58929,65104
82345,84761,71280
62780,13633,35806
70571,95978,95108
52888,93487,88078
29130,16331,14409
92304,65168,58557
28472,46629,22552
832,89716,12881
8947,49372,18917
53393,62848,85813
14570,95609,71932
34906,59313,55734
37689,47610,81231
48410,8422,91050
43870,76541,8153
5427,34304,38621
76919,40838,49838
89295,69748,69369
50411,60493,56509
26826,15701,77344
24956,47561,88427
56537,24378,40188
84314,39970,40106
13090,35301,17852
60153,99913,7345
21147,67767,86352
94054,90953,58835
81837,49253,53459
64686,71238,47767
74230,40836,81723
86599,29209,24915
94641,86178,95813
45007,59187,71572
33557,77915,37965
10,26480,78523
49998,17424,383
72243,16533,32163
96153,76105,53137
67890,80555,76817
58274,24705,50617
90297,95948,32697
44469,83877,56552
15831,6265,94385
55836,6873,75895
90337,23678,21982
35012,30025,70177
42902,52640,67628
51436,86883,38944
72763,97457,11606
50955,3969,92867
91443,54845,20378
2133,70178,55310
17613,15558,96325
62436,31322,23281
53947,2865,94764
40898,32429,56964
53537,52879,22200
42871,1669,76000
63615,86744,87542
93336,17798,45244
56804,65416,20724
49294,21904,85931
45336,49650,26151
38314,46233,85923
64085,1875,33253
6740,22204,3436
94916,13931,65156
65933,21535,26507
45670,48945,7381
88012,2945,38942
8597,15275,7742
37182,10617,88064
44966,19938,98403
52444,10373,45375
2510,89230,59817
41311,12069,30872
42173,92528,45714
81874,83719,21053
66914,60637,68318
9977,30378,74103
77500,5036,80383
14977,54324,58522
64913,27528,28552
79234,26215,79253
65555,68595,19347
48129,62152,56907
55931,49134,27039
81533,76718,78435
27041,48960,99966
12471,11450,99887
44614,14647,11244
7064,79634,40939
47042,12530,41088
2893,25877,88592
93696,12076,1871
46418,97089,52542
67033,30021,91392
80133,5826,11001
10958,41254,28841
31153,7589,15039
17780,43539,49617
76429,94380,46400
15092,32751,31607
34046,15838,20784
75419,51308,44185
47445,41839,7061
91239,85946,6742
2606,30107,86190
57460,64139,20675
47311,26384,38310
75437,20187,60579
45740,25222,35810
89165,70723,56270
83116,55684,54082
18207,17844,67662
9674,58573,66797
44733,89585,51527
83277,92121,15913
4249,7080,93485
92675,37985,23278
68824,25339,15228
98817,25303,50014
79441,94633,94983
3538,68284,7729
90071,19613,80286
35338,57531,87102
13284,79098,7934
52860,41073,17367
63008,43331,63254
78540,80209,43105
8114,96893,96242
33065,15885,38404
93180,10260,1406
49667,46625,92829
33003,24911,14339
38778,55485,59791
72543,61880,87071
85741,95244,22418
85620,63879,96866
67367,81893,85550
50325,33325,35215
39346,39396,46554
68496,87768,76749
25295,69389,65559
95779,28875,6542
95024,16913,1461
54393,79624,66654
22568,66655,17707
42154,25195,2845
94777,25624,50767
29674,369,53974
29667,70763,48673
90169,60090,15118
99124,57348,86302
63913,1301,25716
81174,63073,69642
59620,25265,48206
7818,69808,55040
1176,94990,88053
62167,61746,50297
10710,51779,51561
55335,99261,74317
94526,24185,92724
98776,71390,17390
74558,87154,35918
40211,49179,4540
74967,488,56683
76881,89746,20583
83194,11163,55480
58293,85409,68879
22119,39436,26300
33552,10044,448
32230,13128,38117
81887,5361,46790
72993,66761,17603
47638,80029,73438
39481,64315,79268
58135,18165,18841
2042,62057,70204
9114,12242,22985
35882,13857,4096
18964,762,17683
38511,95699,6284
73814,1119,60942
83070,32272,95920
84551,68696,99564
62889,86971,44801
30741,80485,10486
7872,31662,84503
65006,93089,15350
72897,5321,3410
84915,37773,941
66303,31900,55969
88175,91065,44552
9797,71120,30801
18859,592,52302
48347,85770,56567
2175,35684,92455
39724,11001,65710
61391,86663,37548
45330,58198,7425
70936,54231,13355
